_id,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included,review_scores,cleaning_fee,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,market,country,longitude,latitude,is_location_exact,availability_30,availability_60,availability_90,availability_365
22341528,Apartment,Entire home/apt,Real Bed,3,10,strict_14_with_grace_period,2,0,1,1,1,100,0,1,80,50,Not Specified,Not Specified,No,Yes,No,1,1,Sydney,Australia,151.19807,-33.88777,Yes,0,0,0,0
22344471,Apartment,Entire home/apt,Real Bed,7,365,strict_14_with_grace_period,4,2,2,1,2,850,0,1,100,300,within a few hours,100.0,No,Yes,Yes,53,53,Sydney,Australia,151.33219,-33.60514,Yes,23,52,82,357
2236449,Condominium,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,6,2,2,69,2,320,0,1,99,170,within a few hours,100.0,Yes,Yes,No,1,1,Maui,United States,-156.50856,20.79371,Yes,8,20,24,151
22385219,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,2,2,1,2,597,0,1,100,0,within a few hours,95.0,No,Yes,No,39,39,Hong Kong,Hong Kong,113.99049,22.21251,Yes,30,60,90,365
22410282,House,Private room,Real Bed,2,1125,flexible,2,0,1,0,1,48,20,1,0,60,Not Specified,Not Specified,No,Yes,No,1,1,Sydney,Australia,151.14834,-33.75452,No,29,59,89,90
22654578,Condominium,Entire home/apt,Real Bed,30,1125,strict_14_with_grace_period,3,0,2,1,1,72,0,3,100,104,within a few hours,67.0,No,Yes,No,200,200,Oahu,United States,-158.20469,21.48223,No,15,45,75,247
20792560,Serviced apartment,Entire home/apt,Real Bed,4,366,moderate,3,1,2,8,1,264,30,2,91,30,within an hour,100.0,No,Yes,No,8,8,Istanbul,Turkey,28.96792,41.0063,No,29,59,89,364
20788473,Apartment,Entire home/apt,Real Bed,2,20,strict_14_with_grace_period,3,1,2,58,1,90,20,2,98,50,within an hour,100.0,Yes,Yes,No,2,2,New York,United States,-73.89678,40.62944,No,18,48,78,332
20804897,House,Private room,Real Bed,1,1125,flexible,1,1,1,3,1,50,20,1,60,20,Not Specified,Not Specified,No,Yes,No,1,1,Sydney,Australia,151.19701,-33.88925,No,0,0,0,0
20827803,Apartment,Private room,Real Bed,2,3,moderate,2,1,1,51,1,35,0,1,100,0,within an hour,100.0,No,Yes,No,2,2,Montreal,Canada,-73.58029,45.52042,Yes,18,35,46,46
20864633,House,Entire home/apt,Real Bed,2,21,flexible,4,1,1,0,1,42,10,2,0,35,Not Specified,Not Specified,No,Yes,No,1,1,Montreal,Canada,-73.54044,45.5785,Yes,0,0,0,0
20958766,Townhouse,Entire home/apt,Real Bed,2,1001,strict_14_with_grace_period,16,10,13,6,5,320,12,9,90,0,within an hour,100.0,No,Yes,No,9,9,Porto,Portugal,-8.62181,41.13354,No,27,53,83,344
20962081,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,6,2,3,92,2,181,25,2,94,70,within an hour,100.0,No,Yes,No,1,1,Sydney,Australia,151.20742,-33.87951,Yes,5,27,34,35
2104807,Apartment,Entire home/apt,Pull-out Sofa,2,1124,moderate,4,1,1,6,1,150,20,2,67,60,within a few hours,100.0,No,Yes,No,23,23,Barcelona,Spain,2.16127,41.39879,Yes,10,33,63,333
21106002,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1,1,53,1,90,19,1,96,29,within an hour,100.0,Yes,Yes,No,10,10,New York,United States,-73.9909,40.71363,Yes,4,4,4,4
2113927,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,6,2,2,3,2,351,0,1,93,150,within a few hours,100.0,No,Yes,No,1,1,Rio De Janeiro,Brazil,-43.17434177324787,-22.963813564505323,Yes,22,52,82,357
21234040,Apartment,Private room,Real Bed,1,3,flexible,2,1,1,1,1,20,6,1,60,0,Not Specified,Not Specified,No,Yes,No,1,1,Montreal,Canada,-73.58341,45.51726,Yes,0,0,0,0
21312909,Condominium,Entire home/apt,Real Bed,2,90,super_strict_30,4,1,1,37,1,119,0,1,92,285,within a few hours,100.0,No,Yes,No,92,92,Maui,United States,-156.44528,20.71691,No,3,15,35,275
2133967,Apartment,Private room,Real Bed,2,60,flexible,2,1,1,10,1,74,24,1,89,0,within a day,100.0,No,Yes,No,3,3,Istanbul,Turkey,28.99543,41.05987,No,30,60,90,365
21362635,House,Entire home/apt,Real Bed,4,1125,flexible,4,2,3,7,2,90,0,1,100,25,within an hour,100.0,No,Yes,No,1,1,Porto,Portugal,-8.7383,41.3398,No,1,1,1,188
21382912,Serviced apartment,Private room,Real Bed,1,30,flexible,3,1,2,7,1,63,50,1,74,50,within a day,80.0,No,Yes,No,1,1,Istanbul,Turkey,28.99616,41.05978,No,30,60,90,365
21389251,Apartment,Entire home/apt,Real Bed,60,180,moderate,2,1,1,6,1,90,10,2,100,60,within an hour,100.0,Yes,Yes,No,7,7,Barcelona,Spain,2.13676,41.38121,No,0,0,0,220
2142754,Apartment,Private room,Couch,3,10,strict_14_with_grace_period,3,1,1,39,1,204,45,2,98,150,Not Specified,Not Specified,Yes,Yes,No,1,1,Maui,United States,-156.67402,20.87291,Yes,0,0,0,0
21493665,Apartment,Entire home/apt,Real Bed,1,90,flexible,4,2,2,5,2,127,119,1,96,298,within an hour,100.0,No,Yes,No,7,7,Istanbul,Turkey,28.97113,41.00438,Yes,0,3,21,292
21680190,Serviced apartment,Entire home/apt,Real Bed,30,1125,moderate,2,1,1,2,1,82,0,1,60,75,within a few hours,90.0,No,Yes,Yes,256,256,Montreal,Canada,-73.56128,45.51037,Yes,5,35,65,340
21842369,Boutique hotel,Private room,Real Bed,2,1125,flexible,1,0,2,0,1,903,0,1,0,0,Not Specified,Not Specified,No,Yes,No,1,1,Hong Kong,Hong Kong,114.20811,22.29039,No,0,0,0,0
21844137,House,Private room,Real Bed,3,1125,strict_14_with_grace_period,2,1,1,1,2,35,10,1,0,0,Not Specified,Not Specified,No,Yes,No,1,1,Barcelona,Spain,2.17232,41.41188,No,0,0,0,0
21977972,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,4,1,2,16,1,74,7,2,83,91,within an hour,94.0,No,Yes,No,1198,1198,Montreal,Canada,-73.55597,45.51887,Yes,2,6,9,70
20804962,Apartment,Private room,Real Bed,2,7,flexible,2,0,1,3,1,243,70,1,100,0,Not Specified,Not Specified,No,Yes,Yes,3,3,Hong Kong,China,114.07371,22.51558,Yes,0,0,0,0
20829122,Apartment,Private room,Real Bed,1,7,flexible,1,1,1,1,1,25,0,1,100,0,within an hour,100.0,No,Yes,No,1,1,Barcelona,Spain,2.17909,41.43897,Yes,30,60,90,365
21055635,Other,Private room,Real Bed,1,1125,flexible,2,1,2,1,1,25,15,1,0,0,within a day,100.0,No,Yes,No,4,4,Barcelona,Spain,2.17263,41.40557,Yes,30,60,90,292
21111727,Apartment,Private room,Real Bed,1,1125,flexible,2,1,1,117,1,30,0,1,89,19,within an hour,100.0,No,Yes,No,17,17,Montreal,Canada,-73.5772,45.50893,Yes,19,40,40,40
21352206,Townhouse,Private room,Real Bed,1,1125,flexible,2,1,1,0,2,75,0,1,0,0,Not Specified,Not Specified,No,Yes,No,1,1,Sydney,Australia,151.07197,-33.84395,No,0,0,0,0
21501614,Serviced apartment,Entire home/apt,Real Bed,30,1125,moderate,2,0,1,0,1,81,0,1,0,75,within a few hours,90.0,No,Yes,Yes,256,256,Montreal,Canada,-73.56466,45.50362,Yes,26,56,86,361
21507285,House,Entire home/apt,Real Bed,7,1125,strict_14_with_grace_period,7,4,4,0,3,499,0,1,0,418,a few days or more,17.0,No,Yes,No,11,11,Sydney,Australia,151.28537,-33.79054,Yes,0,7,7,24
